secondary_study_accession	sample_accession	secondary_sample_accession	run_accession	submission_accession	fastq_md5	fastq_ftp	submitted_ftp
ERP109205	SAMEA3570763	ERS877912	ERR1423970	ERA625451	a2010ff1c7fc977f8d93c07708714612;3697e553a4b6ae77d3ce8930866f6e7f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR1423970/ERR1423970_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR1423970/ERR1423970_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1423970/19189_3#95.cram
ERP109205	SAMEA3570765	ERS877914	ERR1423971	ERA625452	431606aa9fc06fb9a28a7847e887643b;08df4e71ae2473de75661cb56fadd525	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/001/ERR1423971/ERR1423971_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/001/ERR1423971/ERR1423971_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1423971/19189_8#1.cram
ERP109205	SAMEA3570767	ERS877916	ERR1423972	ERA625452	4056557f9a6692ab33994674505e8f97;dbf2b62084f097c180bce5390de38f07	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/002/ERR1423972/ERR1423972_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/002/ERR1423972/ERR1423972_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1423972/19189_8#2.cram
ERP109205	SAMEA3570769	ERS877918	ERR1423973	ERA625452	046559f6b0e97992c1b4c293820f437a;8a8c35ff3c5f572d4a8f0ddc4140a590	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR1423973/ERR1423973_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR1423973/ERR1423973_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1423973/19189_8#3.cram
ERP109205	SAMEA3570771	ERS877920	ERR1423974	ERA625452	7ae7906b9c93e1d9868a2036a8d00b1c;216ce33de4221861c9d01e1610a02220	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/004/ERR1423974/ERR1423974_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/004/ERR1423974/ERR1423974_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1423974/19189_8#4.cram
ERP109205	SAMEA3570773	ERS877922	ERR1423975	ERA625452	3692e214d5f31dc00f47384c8abcdaa2;3b7ae2093dc704a5da4db263742a2ce9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/005/ERR1423975/ERR1423975_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/005/ERR1423975/ERR1423975_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1423975/19189_8#5.cram
ERP109205	SAMEA3570775	ERS877924	ERR1423976	ERA625452	f94e84641fea46370de42160d8fb3d98;8f4171f372497a94e38e1512c3736057	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/006/ERR1423976/ERR1423976_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/006/ERR1423976/ERR1423976_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1423976/19189_8#6.cram
ERP109205	SAMEA3570777	ERS877926	ERR1423977	ERA625452	7c3841a04bd26f0ce4f051c154e85c64;6159b23e6f8484b8e06025116c272cdb	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/007/ERR1423977/ERR1423977_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/007/ERR1423977/ERR1423977_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1423977/19189_8#7.cram
ERP109205	SAMEA3570779	ERS877928	ERR1423978	ERA625452	58198a7fb09bfd6cffb55744b4991511;e2a4b6ab94afaba25270feeef219d746	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/008/ERR1423978/ERR1423978_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/008/ERR1423978/ERR1423978_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1423978/19189_8#8.cram
ERP109205	SAMEA3570781	ERS877930	ERR1423979	ERA625452	1653912e266dbe4f3d80620f2740c299;1c6e4c5ab58b081486bba9e836abd6f0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/009/ERR1423979/ERR1423979_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/009/ERR1423979/ERR1423979_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1423979/19189_8#9.cram
ERP109205	SAMEA3570783	ERS877932	ERR1423980	ERA625452	10483129a576cbcba17c9a1745f6e490;784492b573c5b520fae1eefb6102e055	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR1423980/ERR1423980_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR1423980/ERR1423980_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1423980/19189_8#10.cram
ERP109205	SAMEA3570785	ERS877934	ERR1423981	ERA625452	071f2e19ebf6cbfbb188229278827073;a6a8b3a125cac0495bac010e67eb8dd9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/001/ERR1423981/ERR1423981_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/001/ERR1423981/ERR1423981_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1423981/19189_8#11.cram
