secondary_study_accession	sample_accession	secondary_sample_accession	run_accession	submission_accession	fastq_md5	fastq_ftp	submitted_ftp
ERP109205	SAMEA3531083	ERS838232	ERR1334744	ERA587837	88995985b66397b5fb0743ccea16b167;9ef867bd3a25b7343454f18faece0179	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/004/ERR1334744/ERR1334744_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/004/ERR1334744/ERR1334744_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334744/18596_1#1.cram
ERP109205	SAMEA3531084	ERS838233	ERR1334745	ERA587837	85f615bc0598404b0da389bcd26af18a;d4fcb005f1e906221bde0557cb87db6c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/005/ERR1334745/ERR1334745_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/005/ERR1334745/ERR1334745_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334745/18596_1#2.cram
ERP109205	SAMEA3531085	ERS838234	ERR1334746	ERA587837	3cbc9f46edef81ee14381a8542153ef3;8760fc734df31d871ce2665ad0a5dc83	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/006/ERR1334746/ERR1334746_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/006/ERR1334746/ERR1334746_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334746/18596_1#3.cram
ERP109205	SAMEA3531086	ERS838235	ERR1334747	ERA587837	a7a96c44d3a95907ea5ccd8d752a6563;3223862d390a5a2780448bae9871c89d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/007/ERR1334747/ERR1334747_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/007/ERR1334747/ERR1334747_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334747/18596_1#4.cram
ERP109205	SAMEA3531087	ERS838236	ERR1334748	ERA587837	9ef91ffc741611b0934d75ae4d2e88ef;aef0cd0b4f2e8cde5e5d7d1edecd188e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/008/ERR1334748/ERR1334748_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/008/ERR1334748/ERR1334748_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334748/18596_1#5.cram
ERP109205	SAMEA3531088	ERS838237	ERR1334749	ERA587837	ae0c38adbd65c9e5db790dc052b38c59;99c0b9642b7c291b4e451b52ba7293e8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/009/ERR1334749/ERR1334749_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/009/ERR1334749/ERR1334749_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334749/18596_1#6.cram
ERP109205	SAMEA3531089	ERS838238	ERR1334750	ERA587837	7aba5be18a5db7c470fbda65340bd403;c764e90ff675bd8d259d564b5e4f5263	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/000/ERR1334750/ERR1334750_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/000/ERR1334750/ERR1334750_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334750/18596_1#7.cram
ERP109205	SAMEA3531090	ERS838239	ERR1334751	ERA587837	a3461d802089bbda0052727cf4974fa8;2419f0a792c8e0c0f80b7023ce617db7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/001/ERR1334751/ERR1334751_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/001/ERR1334751/ERR1334751_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334751/18596_1#8.cram
ERP109205	SAMEA3531091	ERS838240	ERR1334752	ERA587837	1870ee004fe2a2e9faaa5072138174fd;917d15e8bb3fcc2198f0512f6134b02b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/002/ERR1334752/ERR1334752_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/002/ERR1334752/ERR1334752_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334752/18596_1#9.cram
ERP109205	SAMEA3531092	ERS838241	ERR1334753	ERA587837	b0d522d114dceef705e96e8bbed2a4e1;a248f7cbba4b31f73ad494e6548c1196	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/003/ERR1334753/ERR1334753_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/003/ERR1334753/ERR1334753_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334753/18596_1#10.cram
ERP109205	SAMEA3531093	ERS838242	ERR1334754	ERA587837	7856ec7f4a47ea6f37245a2800657243;a692f74d1aa8dadf8c8f1fe343c13469	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/004/ERR1334754/ERR1334754_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/004/ERR1334754/ERR1334754_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334754/18596_1#11.cram
ERP109205	SAMEA3531094	ERS838243	ERR1334755	ERA587837	10851c180c9f17bb0922b8b276592861;f57cd8364175bf17223e50a6bfea0d12	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/005/ERR1334755/ERR1334755_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/005/ERR1334755/ERR1334755_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334755/18596_1#12.cram
ERP109205	SAMEA3531095	ERS838244	ERR1334756	ERA587837	6e68ff93396848c210a70017d907ffea;776ed67e779042ec9de1a8ac01624004	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/006/ERR1334756/ERR1334756_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/006/ERR1334756/ERR1334756_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334756/18596_1#13.cram
ERP109205	SAMEA3531096	ERS838245	ERR1334757	ERA587837	eb1397de06275fa0654053ed0d7796dc;fe8e116f6dba7110cd4e33f76f42dc02	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/007/ERR1334757/ERR1334757_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/007/ERR1334757/ERR1334757_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334757/18596_1#14.cram
ERP109205	SAMEA3531097	ERS838246	ERR1334758	ERA587837	54f7b0cbaf31f9ddef64ed3a4779177f;5c745eb2d06976bbfe23a173e3a3219a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/008/ERR1334758/ERR1334758_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/008/ERR1334758/ERR1334758_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334758/18596_1#15.cram
ERP109205	SAMEA3531098	ERS838247	ERR1334759	ERA587837	0dac402656ddb129f35ecf357ebc54ce;428e4e2cf6821ad0bca0a503813a97c2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/009/ERR1334759/ERR1334759_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/009/ERR1334759/ERR1334759_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334759/18596_1#16.cram
ERP109205	SAMEA3531099	ERS838248	ERR1334760	ERA587837	03f7221ff2ade5ea842f0e27c062a801;84710359b5e9e03d2b9838e9738db23b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/000/ERR1334760/ERR1334760_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/000/ERR1334760/ERR1334760_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334760/18596_1#17.cram
ERP109205	SAMEA3531100	ERS838249	ERR1334761	ERA587837	c92164ff8c7ff96394b00bd684956ff8;1c15e5ba16c84a65419ea1e386f38a7f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/001/ERR1334761/ERR1334761_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/001/ERR1334761/ERR1334761_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334761/18596_1#18.cram
ERP109205	SAMEA3531101	ERS838250	ERR1334762	ERA587837	8832ce2f7cce4288d4a69d0dba87c79b;e58a3e994f5ee72115b598624446c325	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/002/ERR1334762/ERR1334762_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/002/ERR1334762/ERR1334762_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334762/18596_1#19.cram
ERP109205	SAMEA3531102	ERS838251	ERR1334763	ERA587837	8dedcbffff719b8f7f883ff8e037ff46;d128f1eedef3161497841f52ceee77ef	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/003/ERR1334763/ERR1334763_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/003/ERR1334763/ERR1334763_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334763/18596_1#20.cram
ERP109205	SAMEA3531103	ERS838252	ERR1334764	ERA587837	b7de279f0b2e5587be41e2e8e2b0c167;eeb72c38e0b09a433cd678a09f868a37	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/004/ERR1334764/ERR1334764_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/004/ERR1334764/ERR1334764_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334764/18596_1#21.cram
ERP109205	SAMEA3531104	ERS838253	ERR1334765	ERA587837	9b40ae58197cba07cc7d34af31bc080c;de55be358a0609f9de5529ff7c0c3c1a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/005/ERR1334765/ERR1334765_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/005/ERR1334765/ERR1334765_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334765/18596_1#22.cram
ERP109205	SAMEA3531105	ERS838254	ERR1334766	ERA587837	8945521de430aaedf82b1784de619f72;deeec9dbaa6776d46c3f0f3cf9c52a7b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/006/ERR1334766/ERR1334766_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/006/ERR1334766/ERR1334766_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334766/18596_1#23.cram
ERP109205	SAMEA3531106	ERS838255	ERR1334767	ERA587837	455b6ba58397171432c7aa68611323c6;39d1c5796ad7eee44837b7bbba4dbde5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/007/ERR1334767/ERR1334767_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/007/ERR1334767/ERR1334767_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334767/18596_1#24.cram
ERP109205	SAMEA3531107	ERS838256	ERR1334768	ERA587837	40597bd98f929026a7e698550def492a;1aa73b6bfd29e4adfd24345ca69413be	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/008/ERR1334768/ERR1334768_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/008/ERR1334768/ERR1334768_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334768/18596_1#25.cram
ERP109205	SAMEA3531108	ERS838257	ERR1334769	ERA587837	ae5f5af04864eefc20d8e8ed32efc3e6;5d9a4319e8e70ea547efed54e35ada4a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/009/ERR1334769/ERR1334769_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/009/ERR1334769/ERR1334769_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334769/18596_1#26.cram
ERP109205	SAMEA3531109	ERS838258	ERR1334770	ERA587837	e49b79875357582ebee2c3ab0f094074;aab56ccbb02d554272be822a505bab71	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/000/ERR1334770/ERR1334770_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/000/ERR1334770/ERR1334770_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334770/18596_1#27.cram
ERP109205	SAMEA3531110	ERS838259	ERR1334771	ERA587837	b86b4044f39099dd83b82d14a2b9ff02;63b268c2892742cbda30a6b154d30bc1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/001/ERR1334771/ERR1334771_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/001/ERR1334771/ERR1334771_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334771/18596_1#28.cram
ERP109205	SAMEA3531111	ERS838260	ERR1334772	ERA587837	cd01efb44afd2715ec679c5aef21cbc6;b5becabcd383b89d1d4e71962b1072fb	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/002/ERR1334772/ERR1334772_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/002/ERR1334772/ERR1334772_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334772/18596_1#29.cram
ERP109205	SAMEA3531112	ERS838261	ERR1334773	ERA587837	4e548077a8ab873d14ccf3eb786c598e;dac8d01a1e33b88918a1beb583ce4a01	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/003/ERR1334773/ERR1334773_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/003/ERR1334773/ERR1334773_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334773/18596_1#30.cram
ERP109205	SAMEA3531113	ERS838262	ERR1334774	ERA587837	67af28a25adcaa73ca7c1b687fcbd8dc;e6e9a5d9a3f2014a8de4778b5ee3ec17	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/004/ERR1334774/ERR1334774_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/004/ERR1334774/ERR1334774_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334774/18596_1#31.cram
ERP109205	SAMEA3531114	ERS838263	ERR1334775	ERA587837	2c3f7bbe5f911baf09b8d2276aec98cb;5f0f4ecbefa21341565d5ed5f7e3292c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/005/ERR1334775/ERR1334775_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/005/ERR1334775/ERR1334775_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334775/18596_1#32.cram
ERP109205	SAMEA3531115	ERS838264	ERR1334776	ERA587837	f3a05d87bd4711782d840eb58c7dae81;c0247e1aae905b8d2c26b74a1e0532ca	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/006/ERR1334776/ERR1334776_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/006/ERR1334776/ERR1334776_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334776/18596_1#33.cram
ERP109205	SAMEA3531116	ERS838265	ERR1334777	ERA587837	24c7296d8522f5e00dcc3fa88b753d60;0f9ed60be98a86a80997941a4491e627	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/007/ERR1334777/ERR1334777_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/007/ERR1334777/ERR1334777_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334777/18596_1#34.cram
ERP109205	SAMEA3531117	ERS838266	ERR1334778	ERA587837	489c1462a2bbbe7c9242891f760cea49;40d9cd0a9df1d89a08c54438ccbf8175	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/008/ERR1334778/ERR1334778_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/008/ERR1334778/ERR1334778_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334778/18596_1#35.cram
ERP109205	SAMEA3531118	ERS838267	ERR1334779	ERA587837	c85a901dd3f3a16fbf1f87cb75ccf203;024643fb81bd8e3353784249e8b8ec14	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/009/ERR1334779/ERR1334779_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/009/ERR1334779/ERR1334779_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334779/18596_1#36.cram
ERP109205	SAMEA3531119	ERS838268	ERR1334780	ERA587837	e6d24db9843d5935d9471b8701395444;cf7a7b14c0291930c6b1aae2a9a1a58b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/000/ERR1334780/ERR1334780_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/000/ERR1334780/ERR1334780_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334780/18596_1#37.cram
ERP109205	SAMEA3531120	ERS838269	ERR1334781	ERA587837	34fa2534db569ca34d3c6fd62fb97732;96237693bc6009ff4554b3547083fa84	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/001/ERR1334781/ERR1334781_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/001/ERR1334781/ERR1334781_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334781/18596_1#38.cram
ERP109205	SAMEA3531121	ERS838270	ERR1334782	ERA587837	c4c608a7c768a9d6e53734afd1ad3140;33991edbb7bb8a8504727d86abccaf51	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/002/ERR1334782/ERR1334782_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/002/ERR1334782/ERR1334782_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334782/18596_1#39.cram
ERP109205	SAMEA3531122	ERS838271	ERR1334783	ERA587837	edd90ae62719dd287ddac68b9a83fe54;f8cec570d20e8aafc45ebe02399f45e2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/003/ERR1334783/ERR1334783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/003/ERR1334783/ERR1334783_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334783/18596_1#40.cram
ERP109205	SAMEA3531123	ERS838272	ERR1334784	ERA587837	d340c9a1e9db0e8fd8b8a446be8858bd;c384bb3c5297ad1829f86ba4fd7f3534	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/004/ERR1334784/ERR1334784_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/004/ERR1334784/ERR1334784_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334784/18596_1#41.cram
ERP109205	SAMEA3531124	ERS838273	ERR1334785	ERA587837	6efcc623128e5f6198c20da8a5534a8c;6912501da3eed80b55433f8f5a033cf0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/005/ERR1334785/ERR1334785_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/005/ERR1334785/ERR1334785_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334785/18596_1#42.cram
ERP109205	SAMEA3531125	ERS838274	ERR1334786	ERA587837	3d6db629dbbfd1ebe9bceb8486505900;e21481bc4166d780957f529761a29df5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/006/ERR1334786/ERR1334786_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/006/ERR1334786/ERR1334786_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334786/18596_1#43.cram
ERP109205	SAMEA3531126	ERS838275	ERR1334787	ERA587837	f823025bd54dd0480d3f6f763697a059;862d252f5bcf916b94b70f7c3abbf0a7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/007/ERR1334787/ERR1334787_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/007/ERR1334787/ERR1334787_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334787/18596_1#44.cram
ERP109205	SAMEA3531127	ERS838276	ERR1334788	ERA587837	34aa6f9061162b319b1f29add33a0613;d28e7fa7001f91bc2c2d5bf31e72d35d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/008/ERR1334788/ERR1334788_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/008/ERR1334788/ERR1334788_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334788/18596_1#45.cram
ERP109205	SAMEA3531128	ERS838277	ERR1334789	ERA587837	d57ea086dd1c9d944c5fde50c789828c;067c08a394bdff68989eea9be77c4e62	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/009/ERR1334789/ERR1334789_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/009/ERR1334789/ERR1334789_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334789/18596_1#46.cram
ERP109205	SAMEA3531129	ERS838278	ERR1334790	ERA587837	a1c156894d5cace12a9f1e9a25b49708;1e7b205b82771c85013fa12c376265a0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/000/ERR1334790/ERR1334790_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/000/ERR1334790/ERR1334790_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334790/18596_1#47.cram
ERP109205	SAMEA3531130	ERS838279	ERR1334791	ERA587837	77ae95b03a1bcb00ef1fd02f33897859;acdd6d3ca4713bf4fd8a980dee1a83b5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/001/ERR1334791/ERR1334791_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/001/ERR1334791/ERR1334791_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334791/18596_1#48.cram
ERP109205	SAMEA3531131	ERS838280	ERR1334792	ERA587837	f282eaec9129db70d90c3ce3a15492c5;248a0b493662479033e67c3ba9ceeaa6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/002/ERR1334792/ERR1334792_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/002/ERR1334792/ERR1334792_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334792/18596_1#49.cram
ERP109205	SAMEA3531132	ERS838281	ERR1334793	ERA587837	a127ae97c8e9dd1118693afcd73a8e51;593fca6b7496a9ed7ae111bdd86a966c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/003/ERR1334793/ERR1334793_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/003/ERR1334793/ERR1334793_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334793/18596_1#50.cram
ERP109205	SAMEA3531133	ERS838282	ERR1334794	ERA587837	44d5cb73cee9481d26c00e746e379496;7ea2e03b957110a838307807e2cc0347	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/004/ERR1334794/ERR1334794_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/004/ERR1334794/ERR1334794_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334794/18596_1#51.cram
ERP109205	SAMEA3531134	ERS838283	ERR1334795	ERA587837	95f878e420e94ca9ecf4402383467ab6;bbc747ef5672c435c071e1bbe1d45963	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/005/ERR1334795/ERR1334795_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/005/ERR1334795/ERR1334795_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334795/18596_1#52.cram
ERP109205	SAMEA3531135	ERS838284	ERR1334796	ERA587837	8fb123e2ab5977eff08ac3e6b53a12bf;0bd5cdb0a3525c2b5a07170aad59556a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/006/ERR1334796/ERR1334796_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/006/ERR1334796/ERR1334796_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334796/18596_1#53.cram
ERP109205	SAMEA3531136	ERS838285	ERR1334797	ERA587837	d054ec0d5df85adc0953264b81bee29b;b5d53f586fad5a2cbec3f1d0ae463e48	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/007/ERR1334797/ERR1334797_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/007/ERR1334797/ERR1334797_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334797/18596_1#54.cram
ERP109205	SAMEA3531137	ERS838286	ERR1334798	ERA587837	c5ea344c744917abe70ca06851daadbc;b4cfd6e6219de485d014f867368062a1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/008/ERR1334798/ERR1334798_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/008/ERR1334798/ERR1334798_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334798/18596_1#55.cram
ERP109205	SAMEA3531138	ERS838287	ERR1334799	ERA587837	023a01dca1c71f32a27fa9d94143ad96;9e916369d835fcb2354fd46b360b2604	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/009/ERR1334799/ERR1334799_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/009/ERR1334799/ERR1334799_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334799/18596_1#56.cram
ERP109205	SAMEA3531139	ERS838288	ERR1334800	ERA587837	0efed61edcdd5e642662c1b313f33438;8761fad6c898a4994088dc8288ea26a7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/000/ERR1334800/ERR1334800_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/000/ERR1334800/ERR1334800_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334800/18596_1#57.cram
ERP109205	SAMEA3531140	ERS838289	ERR1334801	ERA587837	7dbc9fd01be398309bd4d6d27976d1e9;02670925eabe36682fc5e288c39ed9c6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/001/ERR1334801/ERR1334801_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/001/ERR1334801/ERR1334801_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334801/18596_1#58.cram
ERP109205	SAMEA3531141	ERS838290	ERR1334802	ERA587837	16ce651a8e113af44e0a24191711d2e3;a914c988a6c934f01cb7a486532c9501	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/002/ERR1334802/ERR1334802_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/002/ERR1334802/ERR1334802_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334802/18596_1#59.cram
