##Supplementary Table 1. Accession numbers of YKOC colonies sequenced.		
##LEGEND		
##Deletion_Strain	Unique ID identifying the KO strain from which colonies were derived	
##SD_code	Unique ID identifying a single colony	
##ERS accession number	Accession code to download data from the European Nucleotide Archive	
#Deletion_Strain	SD_code	ERS accession number
Del1100_RPL16B	SD1962b	ERS878582
Del1100_RPL16B	SD1962b2	ERS878584
Del1101_SNN1	SD1963b	ERS878586
Del1101_SNN1	SD1963b2	ERS878588
Del1102_YNL089C	SD1964b	ERS878590
Del1102_YNL089C	SD1964b2	ERS878592
Del1103_RPS7B	SD1965b	ERS878594
Del1103_RPS7B	SD1965b2	ERS878596
Del1104_YNL109W	SD1966b	ERS878598
Del1104_YNL109W	SD1966b2	ERS878600
Del1105_CYB5	SD1967b	ERS878602
Del1105_CYB5	SD1967b2	ERS878604
Del1106_LSM7	SD1968b	ERS878606
Del1106_LSM7	SD1968b2	ERS878608
Del1106_LSM7	SD1969b	ERS878610
Del1106_LSM7	SD1969b2	ERS878612
Del1108_LYP1	SD1970b	ERS878614
Del1108_LYP1	SD1970b2	ERS878616
Del1109_MRPL10	SD1971b	ERS878618
Del1109_MRPL10	SD1971b2	ERS878619
Del1111_ABZ1	SD1973b	ERS878621
Del1111_ABZ1	SD1973b2	ERS878623
Del1112_SPT20	SD1974b	ERS1076558
Del1112_SPT20	SD1974b2	ERS1076559
Del1113_GRE2	SD1975b	ERS878625
Del1113_GRE2	SD1975b2	ERS878627
Del1114_FRE7	SD1976b	ERS878629
Del1114_FRE7	SD1976b2	ERS878631
Del1115_AIM44	SD1977b	ERS878633
Del1115_AIM44	SD1977b2	ERS878635
Del1117_DDC1	SD1979b	ERS878637
Del1117_DDC1	SD1979b2	ERS878639
Del1118_YPR011C	SD1980b	ERS878641
Del1118_YPR011C	SD1980b2	ERS878643
Del1119_AGC1	SD1981b	ERS878645
Del1119_AGC1	SD1981b2	ERS878647
Del1120_MDM36	SD1982b	ERS878649
Del1120_MDM36	SD1982b2	ERS878651
Del1121_NVJ2	SD1983b	ERS878653
Del1121_NVJ2	SD1983b2	ERS878655
Del1122_MRI1	SD1984b	ERS878657
Del1122_MRI1	SD1984b2	ERS878659
Del1123_TOM5	SD1985b	ERS878660
Del1123_TOM5	SD1985b2	ERS878662
Del1124_SUE1	SD1986b	ERS878664
Del1124_SUE1	SD1986b2	ERS878666
Del1125_PAU8	SD1987b	ERS878668
Del1125_PAU8	SD1987b2	ERS878670
Del1126_SEO1	SD1988b	ERS878672
Del1126_SEO1	SD1988b2	ERS878674
Del1127_YAL066W	SD1989b	ERS878676
Del1127_YAL066W	SD1989b2	ERS878678
Del1128_YAL065C	SD1990b	ERS878870
Del1128_YAL065C	SD1990b2	ERS878868
Del1129_GDH3	SD1991b	ERS878680
Del1129_GDH3	SD1991b2	ERS878682
Del1130_BDH2	SD1992b	ERS878684
Del1130_BDH2	SD1992b2	ERS878686
Del1131_BDH1	SD1993b	ERS878688
Del1131_BDH1	SD1993b2	ERS878690
Del1132_ECM1	SD1994b	ERS878692
Del1132_ECM1	SD1994b2	ERS878694
Del1133_CNE1	SD1995b	ERS878696
Del1133_CNE1	SD1995b2	ERS878698
Del1134_GPB2	SD1996b	ERS878700
Del1134_GPB2	SD1996b2	ERS878702
Del1135_PEX22	SD1997b	ERS878704
Del1135_PEX22	SD1997b2	ERS878706
Del1136_FLC2	SD1998b	ERS878708
Del1136_FLC2	SD1998b2	ERS878710
Del1137_OAF1	SD1999b	ERS878712
Del1137_OAF1	SD1999b2	ERS878714
Del1138_AIM2	SD2000b	ERS878716
Del1138_AIM2	SD2000b2	ERS878718
Del1139_GEM1	SD2001b	ERS878720
Del1139_GEM1	SD2001b2	ERS878722
Del1140_AIM1	SD2002b	ERS878723
Del1140_AIM1	SD2002b2	ERS878725
Del1141_YAL045C	SD2003b	ERS878727
Del1141_YAL045C	SD2003b2	ERS878730
Del1142_GCV3	SD2004b	ERS878732
Del1142_GCV3	SD2004b2	ERS878734
Del1143_ERV46	SD2005b	ERS878736
Del1144_YAL043C-A	SD2006b	ERS878740
Del1144_YAL043C-A	SD2006b2	ERS878742
Del1145_CLN3	SD2007b	ERS878744
Del1145_CLN3	SD2007b2	ERS878746
Del1146_CYC3	SD2008b	ERS878748
Del1146_CYC3	SD2008b2	ERS878750
Del1147_YAL037W	SD2009b	ERS878752
Del1147_YAL037W	SD2009b2	ERS878754
Del1148_RBG1	SD2010b	ERS878756
Del1148_RBG1	SD2010b2	ERS878758
Del1149_FUN12	SD2011b	ERS970019
Del1149_FUN12	SD2011b2	ERS970020
Del1150_FUN19	SD2012b	ERS878760
Del1150_FUN19	SD2012b2	ERS878762
Del1151_GIP4	SD2013b	ERS878764
Del1151_GIP4	SD2013b2	ERS878766
Del1152_SNC1	SD2014b	ERS878768
Del1152_SNC1	SD2014b2	ERS878770
Del1153_MYO4	SD2015b	ERS878772
Del1153_MYO4	SD2015b2	ERS878774
Del1154_FRT2	SD2016b	ERS878776
Del1154_FRT2	SD2016b2	ERS878778
Del1155_SAW1	SD2017b	ERS878780
Del1155_SAW1	SD2017b2	ERS878782
Del1156_DRS2	SD2018b	ERS878784
Del1156_DRS2	SD2018b2	ERS878786
Del1157_PMT2	SD2019b	ERS878788
Del1157_PMT2	SD2019b2	ERS878790
Del1158_FUN26	SD2020b	ERS878792
Del1158_FUN26	SD2020b2	ERS878794
Del1159_CCR4	SD2021b	ERS878796
Del1159_CCR4	SD2021b2	ERS878798
Del1160_ATS1	SD2022b	ERS878800
Del1160_ATS1	SD2022b2	ERS878802
Del1161_FUN30	SD2023b	ERS878804
Del1161_FUN30	SD2023b2	ERS878806
Del1162_LDS1	SD2024b	ERS878808
Del1162_LDS1	SD2024b2	ERS878810
Del1163_PSK1	SD2025b	ERS878812
Del1163_PSK1	SD2025b2	ERS878814
Del1164_NTG1	SD2026b	ERS878816
Del1164_NTG1	SD2026b2	ERS878818
Del1165_SYN8	SD2027b	ERS878820
Del1165_SYN8	SD2027b2	ERS878822
Del1166_DEP1	SD2028b	ERS878824
Del1166_DEP1	SD2028b2	ERS878826
Del1167_SWC3	SD2029b	ERS878828
Del1167_SWC3	SD2029b2	ERS878830
Del1168_MDM10	SD2030b	ERS1042831
Del1168_MDM10	SD2030b2	ERS1042832
Del1169_SPO7	SD2031b	ERS878832
Del1169_SPO7	SD2031b2	ERS878834
Del1170_FUN14	SD2032b	ERS878836
Del1170_FUN14	SD2032b2	ERS878838
Del1171_ERP2	SD2033b	ERS878840
Del1171_ERP2	SD2033b2	ERS878842
Del1172_YAL004W	SD2034b	ERS878844
Del1172_YAL004W	SD2034b2	ERS878846
Del1173_SSA1	SD2035b	ERS878848
Del1173_SSA1	SD2035b2	ERS878850
Del1174_VPS8	SD2036b	ERS878852
Del1174_VPS8	SD2036b2	ERS878854
Del1175_NUP60	SD2037b	ERS878856
Del1175_NUP60	SD2037b2	ERS878858
Del1176_SWD1	SD2038b	ERS878860
Del1176_SWD1	SD2038b2	ERS878862
Del1177_BUD14	SD2039b	ERS878864
Del1177_BUD14	SD2039b2	ERS878866
Del1172_YAL004W	SD2040b	ERS903051
Del1172_YAL004W	SD2040b2	ERS903052
Del1179_KIN3	SD2041b	ERS903053
Del1179_KIN3	SD2041b2	ERS903054
Del1180_PAU7	SD2042b	ERS903055
Del1180_PAU7	SD2042b2	ERS903056
Del1181_YAR023C	SD2043b	ERS879031
Del1181_YAR023C	SD2043b2	ERS879033
Del1182_UIP3	SD2044b	ERS879035
Del1182_UIP3	SD2044b2	ERS879037
Del1183_YAR028W	SD2045b	ERS879039
Del1183_YAR028W	SD2045b2	ERS879041
Del1184_YAR029W	SD2046b	ERS879043
Del1185_PRM9	SD2047b	ERS879047
Del1185_PRM9	SD2047b2	ERS879049
Del1186_YAR030C	SD2048b	ERS879051
Del1186_YAR030C	SD2048b2	ERS879053
Del1187_YAT1	SD2049b	ERS879055
Del1187_YAT1	SD2049b2	ERS879057
Del1188_YAR037W	SD2050b	ERS879059
Del1188_YAR037W	SD2050b2	ERS879061
Del1189_YAR040C	SD2051b	ERS878872
Del1189_YAR040C	SD2051b2	ERS878874
Del1190_SWH1	SD2052b	ERS878876
Del1190_SWH1	SD2052b2	ERS878878
Del1191_YAR043C	SD2053b	ERS878880
Del1191_YAR043C	SD2053b2	ERS878882
Del1192_YAR044W	SD2054b	ERS878884
Del1192_YAR044W	SD2054b2	ERS878886
Del1193_YAR047C	SD2055b	ERS878888
Del1193_YAR047C	SD2055b2	ERS878889
Del1194_ECM15	SD2056b	ERS878891
Del1194_ECM15	SD2056b2	ERS878893
Del1195_HTB2	SD2057b	ERS878895
Del1195_HTB2	SD2057b2	ERS878897
Del1196_HTA2	SD2058b	ERS878899
Del1196_HTA2	SD2058b2	ERS878901
Del1197_PDR3	SD2059b	ERS878903
Del1197_PDR3	SD2059b2	ERS878905
Del1198_LDB7	SD2060b2	ERS878909
Del1199_SLA1	SD2061b	ERS878911
Del1199_SLA1	SD2061b2	ERS878913
Del1200_HIR1	SD2062b	ERS878915
Del1200_HIR1	SD2062b2	ERS878917
Del1201_ALK2	SD2063b	ERS878919
Del1201_ALK2	SD2063b2	ERS878921
Del1202_YBL010C	SD2064b	ERS878923
Del1202_YBL010C	SD2064b2	ERS878926
Del1203_SCT1	SD2065b	ERS878927
Del1203_SCT1	SD2065b2	ERS878929
Del1204_YBL012C	SD2066b	ERS878931
Del1204_YBL012C	SD2066b2	ERS878933
Del1205_FMT1	SD2067b	ERS878935
Del1205_FMT1	SD2067b2	ERS878937
Del1206_ACH1	SD2068b	ERS878939
Del1206_ACH1	SD2068b2	ERS878941
Del1207_PEP1	SD2069b	ERS878943
Del1207_PEP1	SD2069b2	ERS878945
Del1208_APN2	SD2070b	ERS878947
Del1208_APN2	SD2070b2	ERS878949
Del1209_HAP3	SD2071b	ERS878951
Del1209_HAP3	SD2071b2	ERS878953
Del1210_PIM1	SD2072b	ERS878955
Del1210_PIM1	SD2072b2	ERS878957
Del1211_NCL1	SD2073b	ERS878959
Del1211_NCL1	SD2073b2	ERS878961
Del1212_RPL19B	SD2074b	ERS878963
Del1212_RPL19B	SD2074b2	ERS878965
Del1213_YBL028C	SD2075b	ERS878968
Del1213_YBL028C	SD2075b2	ERS878970
Del1214_YBL029W	SD2076b	ERS878971
Del1214_YBL029W	SD2076b2	ERS878973
Del1215_SHE1	SD2077b	ERS878975
Del1215_SHE1	SD2077b2	ERS878977
Del1216_HEK2	SD2078b2	ERS878981
Del1218_YBL036C	SD2080b	ERS878983
Del1218_YBL036C	SD2080b2	ERS878985
Del1219_APL3	SD2081b	ERS878987
Del1219_APL3	SD2081b2	ERS878989
Del1220_MRPL16	SD2082b	ERS878991
Del1220_MRPL16	SD2082b2	ERS878993
Del1221_URA7	SD2083b	ERS878995
Del1221_URA7	SD2083b2	ERS878997
Del1222_FUI1	SD2084b	ERS878999
Del1222_FUI1	SD2084b2	ERS879001
Del1223_ECM13	SD2085b	ERS879003
Del1223_ECM13	SD2085b2	ERS879005
Del1224_YBL044W	SD2086b	ERS879007
Del1224_YBL044W	SD2086b2	ERS879009
Del1225_COR1	SD2087b	ERS879011
Del1225_COR1	SD2087b2	ERS879013
Del1226_PSY4	SD2088b	ERS879015
Del1226_PSY4	SD2088b2	ERS879017
Del1227_EDE1	SD2089b	ERS879019
Del1227_EDE1	SD2089b2	ERS879021
Del1228_RRT1	SD2090b	ERS879063
Del1228_RRT1	SD2090b2	ERS879065
Del1229_MOH1	SD2091b	ERS879067
Del1229_MOH1	SD2091b2	ERS879069
Del1230_PIN4	SD2092b2	ERS879073
Del1231_SAS3	SD2093b	ERS879075
Del1231_SAS3	SD2093b2	ERS879077
Del1232_YBL053W	SD2094b	ERS879079
Del1232_YBL053W	SD2094b2	ERS879081
Del1233_TOD6	SD2095b	ERS879083
Del1233_TOD6	SD2095b2	ERS879085
Del1234_YBL055C	SD2096b	ERS879087
Del1234_YBL055C	SD2096b2	ERS879089
Del1235_PTC3	SD2097b	ERS879091
Del1235_PTC3	SD2097b2	ERS879093
Del1236_PTH2	SD2098b	ERS879095
Del1237_SHP1	SD2099b	ERS879099
Del1237_SHP1	SD2099b2	ERS879101
Del1238_YBL059W	SD2100b	ERS879103
Del1238_YBL059W	SD2100b2	ERS879105
Del1239_YEL1	SD2101b	ERS879107
Del1239_YEL1	SD2101b2	ERS879109
Del1240_SKT5	SD2102b	ERS879111
Del1240_SKT5	SD2102b2	ERS879113
Del1241_YBL062W	SD2103b	ERS879115
Del1241_YBL062W	SD2103b2	ERS879117
Del1242_KIP1	SD2104b	ERS879119
Del1242_KIP1	SD2104b2	ERS879121
Del1243_PRX1	SD2105b	ERS879123
Del1243_PRX1	SD2105b2	ERS879125
Del1244_YBL065W	SD2106b	ERS879127
Del1244_YBL065W	SD2106b2	ERS879129
Del1245_SEF1	SD2107b	ERS879131
Del1245_SEF1	SD2107b2	ERS879133
Del1246_UBP13	SD2108b	ERS879135
Del1246_UBP13	SD2108b2	ERS879137
Del1247_PRS4	SD2109b	ERS879139
Del1247_PRS4	SD2109b2	ERS879141
Del1248_AST1	SD2110b	ERS879143
Del1248_AST1	SD2110b2	ERS879145
Del1249_YBL070C	SD2111b	ERS879147
Del1249_YBL070C	SD2111b2	ERS879149
Del1250_YBL071C	SD2112b	ERS879151
Del1250_YBL071C	SD2112b2	ERS879153
Del1251_RPS8A	SD2113b	ERS879155
Del1251_RPS8A	SD2113b2	ERS879157
Del1252_SSA3	SD2114b	ERS879159
Del1252_SSA3	SD2114b2	ERS879161
Del1253_ATG8	SD2115b	ERS879163
Del1253_ATG8	SD2115b2	ERS879165
Del1254_NUP170	SD2116b	ERS879167
Del1254_NUP170	SD2116b2	ERS879169
Del1255_PET112	SD2117b	ERS879171
Del1255_PET112	SD2117b2	ERS879173
Del1256_YBL081W	SD2118b	ERS879175
Del1256_YBL081W	SD2118b2	ERS879177
Del1257_ALG3	SD2119b	ERS879179
Del1257_ALG3	SD2119b2	ERS879180
Del1258_YBL083C	SD2120b	ERS879182
Del1258_YBL083C	SD2120b2	ERS879184
Del1259_BOI1	SD2121b	ERS879186
Del1259_BOI1	SD2121b2	ERS879188
Del1260_YBL086C	SD2122b	ERS879190
Del1260_YBL086C	SD2122b2	ERS879192
Del1261_RPL23A	SD2123b	ERS879194
Del1261_RPL23A	SD2123b2	ERS879196
Del1262_TEL1	SD2124b	ERS879198
Del1262_TEL1	SD2124b2	ERS879200
Del1263_AVT5	SD2125b	ERS879202
Del1263_AVT5	SD2125b2	ERS879203
Del1264_MRP21	SD2126b	ERS879205
Del1264_MRP21	SD2126b2	ERS879207
Del1265_MAP2	SD2127b	ERS879209
Del1265_MAP2	SD2127b2	ERS879211
Del1267_YBL094C	SD2128b	ERS952944
Del1266_ROX3	SD2128b2	ERS952945
Del1267_YBL094C	SD2129b	ERS879213
Del1267_YBL094C	SD2129b2	ERS879215
Del1268_YBL095W	SD2130b	ERS879217
Del1268_YBL095W	SD2130b2	ERS879219
Del1269_YBL096C	SD2131b	ERS879221
Del1269_YBL096C	SD2131b2	ERS879223
Del1270_BNA4	SD2132b	ERS879225
Del1270_BNA4	SD2132b2	ERS879227
Del1271_ATP1	SD2133b	ERS879229
Del1271_ATP1	SD2133b2	ERS879231
Del1272_YBL100C	SD2134b	ERS879233
Del1272_YBL100C	SD2134b2	ERS879235
Del1273_ECM21	SD2135b	ERS879237
Del1273_ECM21	SD2135b2	ERS879239
Del1274_SFT2	SD2136b	ERS879241
Del1274_SFT2	SD2136b2	ERS879243
Del1275_SEA4	SD2137b	ERS879245
Del1275_SEA4	SD2137b2	ERS879247
Del1276_SRO77	SD2138b	ERS879249
Del1276_SRO77	SD2138b2	ERS879251
Del1277_MIX23	SD2139b	ERS903057
Del1277_MIX23	SD2139b2	ERS903058
Del1278_NTH2	SD2140b	ERS903059
Del1278_NTH2	SD2140b2	ERS903060
Del1279_COQ1	SD2141b	ERS903061
Del1279_COQ1	SD2141b2	ERS903062
Del1280_RCR1	SD2142b	ERS903063
Del1280_RCR1	SD2142b2	ERS903064
Del1281_UGA2	SD2143b	ERS903065
Del1281_UGA2	SD2143b2	ERS903066
Del1282_DSF2	SD2144b	ERS903067
Del1282_DSF2	SD2144b2	ERS903068
Del1283_FLR1	SD2145b	ERS903069
Del1283_FLR1	SD2145b2	ERS947461
Del1284_HHF1	SD2146b	ERS903070
Del1284_HHF1	SD2146b2	ERS947460
Del1285_HHT1	SD2147b	ERS902668
Del1285_HHT1	SD2147b2	ERS902669
Del1286_YBR012C	SD2148b	ERS2571541
Del1286_YBR012C	SD2148b2	ERS902671
Del1287_YBR013C	SD2149b	ERS902672
Del1287_YBR013C	SD2149b2	ERS902673
Del1288_GRX7	SD2150b	ERS902674
Del1288_GRX7	SD2150b2	ERS902675
Del1289_MNN2	SD2151b	ERS902676
Del1289_MNN2	SD2151b2	ERS902677
Del1290_YBR016W	SD2152b	ERS902678
Del1290_YBR016W	SD2152b2	ERS903617
Del1291_GAL7	SD2153b	ERS902679
Del1291_GAL7	SD2153b2	ERS902680
Del1292_GAL10	SD2154b	ERS902681
Del1292_GAL10	SD2154b2	ERS902682
Del1293_GAL1	SD2155b	ERS902683
Del1293_GAL1	SD2155b2	ERS902684
Del1294_POA1	SD2156b	ERS902685
Del1294_POA1	SD2156b2	ERS902686
Del1295_CHS3	SD2157b	ERS902687
Del1295_CHS3	SD2157b2	ERS902688
Del1296_SCO2	SD2158b	ERS902689
Del1296_SCO2	SD2158b2	ERS902690
Del1297_OLA1	SD2159b	ERS902691
Del1297_OLA1	SD2159b2	ERS902692
Del1298_ETR1	SD2160b	ERS1042719
Del1298_ETR1	SD2160b2	ERS1042720
Del1299_YBR027C	SD2161b	ERS902695
Del1299_YBR027C	SD2161b2	ERS902696
Del1300_YPK3	SD2162b	ERS902697
Del1300_YPK3	SD2162b2	ERS902698
Del1301_RKM3	SD2163b	ERS902699
Del1301_RKM3	SD2163b2	ERS902700
Del1302_RPL4A	SD2164b	ERS902701
Del1302_RPL4A	SD2164b2	ERS902702
Del1303_YBR032W	SD2165b	ERS902703
Del1303_YBR032W	SD2165b2	ERS902704
Del1304_EDS1	SD2166b	ERS902705
Del1304_EDS1	SD2166b2	ERS902706
Del1305_HMT1	SD2167b	ERS902707
Del1305_HMT1	SD2167b2	ERS902708
Del1306_PDX3	SD2168b	ERS970021
Del1307_CSG2	SD2169b	ERS902711
Del1307_CSG2	SD2169b2	ERS902712
Del1308_SCO1	SD2170b	ERS902713
Del1308_SCO1	SD2170b2	ERS902714
Del1319_REG2	SD2171b	ERS902715
Del1319_REG2	SD2171b2	ERS902716
Del1310_FIG1	SD2172b	ERS902717
Del1310_FIG1	SD2172b2	ERS902718
Del1311_FAT1	SD2173b	ERS902719
Del1311_FAT1	SD2173b2	ERS902720
Del1312_CST26	SD2174b	ERS902721
Del1312_CST26	SD2174b2	ERS902722
Del1313_QDR3	SD2175b	ERS902723
Del1313_QDR3	SD2175b2	ERS902724
Del1314_TCM62	SD2176b	ERS902725
Del1314_TCM62	SD2176b2	ERS902726
Del1315_GIP1	SD2177b	ERS902727
Del1315_GIP1	SD2177b2	ERS902728
Del1316_ZTA1	SD2178b	ERS902729
Del1316_ZTA1	SD2178b2	ERS902730
Del1317_FMP23	SD2179b	ERS902731
Del1317_FMP23	SD2179b2	ERS902732
Del1318_RPS11B	SD2180b	ERS902733
Del1318_RPS11B	SD2180b2	ERS902734
Del1319_REG2	SD2181b	ERS902735
Del1319_REG2	SD2181b2	ERS902736
Del1320_YBR051W	SD2182b	ERS902737
Del1320_YBR051W	SD2182b2	ERS902738
Del1321_RFS1	SD2183b	ERS902739
Del1321_RFS1	SD2183b2	ERS902740
Del1322_YBR053C	SD2184b	ERS902741
Del1322_YBR053C	SD2184b2	ERS902742
Del1323_YRO2	SD2185b	ERS902743
Del1323_YRO2	SD2185b2	ERS902744
Del1324_YBR056W	SD2186b	ERS902745
Del1324_YBR056W	SD2186b2	ERS902746
Del1325_MUM2	SD2187b	ERS902747
Del1325_MUM2	SD2187b2	ERS902748
Del1326_UBP14	SD2188b	ERS902749
Del1326_UBP14	SD2188b2	ERS902750
Del1327_AKL1	SD2189b	ERS902751
Del1327_AKL1	SD2189b2	ERS902752
Del1328_YBR062C	SD2190b	ERS902753
Del1328_YBR062C	SD2190b2	ERS902754
Del1329_YBR063C	SD2191b	ERS902755
Del1329_YBR063C	SD2191b2	ERS902756
Del1330_YBR064W	SD2192b	ERS902757
Del1330_YBR064W	SD2192b2	ERS902758
Del1331_ECM2	SD2193b	ERS902759
Del1331_ECM2	SD2193b2	ERS902760
Del1332_NRG2	SD2194b	ERS902761
Del1332_NRG2	SD2194b2	ERS902762
Del1333_TIP1	SD2195b	ERS902693
Del1333_TIP1	SD2195b2	ERS902694
Del1334_BAP2	SD2196b	ERS902709
Del1334_BAP2	SD2196b2	ERS902710
Del1335_TAT1	SD2197b	ERS902763
Del1335_TAT1	SD2197b2	ERS902764
Del1336_YBR071W	SD2198b	ERS902765
Del1336_YBR071W	SD2198b2	ERS902766
Del1337_HSP26	SD2199b	ERS902767
Del1337_HSP26	SD2199b2	ERS902768
Del1338_RDH54	SD2200b	ERS902769
Del1338_RDH54	SD2200b2	ERS902770
Del1339_PFF1	SD2201b	ERS902771
Del1339_PFF1	SD2201b2	ERS902772
Del1340_YBR075W	SD2202b	ERS902773
Del1340_YBR075W	SD2202b2	ERS902774
Del1341_ECM8	SD2203b	ERS902775
Del1339_PFF1	SD2203b2	ERS902776
Del1342_SLM4	SD2204b	ERS902777
Del1342_SLM4	SD2204b2	ERS902778
Del1343_ECM33	SD2205b2	ERS902780
Del1344_MIS1	SD2206b	ERS902781
Del1344_MIS1	SD2206b2	ERS902782
Del1345_NHP6B	SD2207b	ERS902783
Del1345_NHP6B	SD2207b2	ERS902784
Del1346_PHO3	SD2208b	ERS902785
Del1346_PHO3	SD2208b2	ERS902786
Del1347_PHO5	SD2209b	ERS902787
Del1347_PHO5	SD2209b2	ERS902788
Del1348_PBY1	SD2210b	ERS902789
Del1348_PBY1	SD2210b2	ERS902790
Del1349_MMS4	SD2211b	ERS902791
Del1349_MMS4	SD2211b2	ERS902792
Del1350_YBR099C	SD2212b	ERS902793
Del1350_YBR099C	SD2212b2	ERS902794
Del1351_YBR100W	SD2213b	ERS902795
Del1351_YBR100W	SD2213b2	ERS902796
Del1352_FES1	SD2214b	ERS902797
Del1352_FES1	SD2214b2	ERS902798
Del1353_SIF2	SD2215b	ERS902799
Del1353_SIF2	SD2215b2	ERS902800
Del1354_YMC2	SD2216b	ERS902801
Del1354_YMC2	SD2216b2	ERS902802
Del1355_VID24	SD2217b	ERS902803
Del1355_VID24	SD2217b2	ERS902804
Del1356_PHO88	SD2218b	ERS970023
Del1356_PHO88	SD2218b2	ERS970024
Del1357_IML3	SD2219b	ERS902807
Del1357_IML3	SD2219b2	ERS902808
Del1358_AIM3	SD2220b	ERS902809
Del1358_AIM3	SD2220b2	ERS902810
Del1359_YBR113W	SD2221b	ERS902811
Del1359_YBR113W	SD2221b2	ERS902812
Del1360_RAD16	SD2222b	ERS902813
Del1360_RAD16	SD2222b2	ERS902814
Del1361_YBR116C	SD2223b	ERS902815
Del1361_YBR116C	SD2223b2	ERS902816
Del1362_MUD1	SD2224b	ERS902817
Del1362_MUD1	SD2224b2	ERS902818
Del1363_CBP6	SD2225b	ERS902819
Del1363_CBP6	SD2225b2	ERS902820
Del1364_TPS1	SD2226b	ERS902821
Del1364_TPS1	SD2226b2	ERS902822
Del1365_VMA2	SD2227b	ERS902823
Del1365_VMA2	SD2227b2	ERS902824
Del1366_ATG14	SD2228b	ERS902825
Del1366_ATG14	SD2228b2	ERS902826
Del1367_OPY1	SD2229b	ERS902827
Del1367_OPY1	SD2229b2	ERS902828
Del1368_SHE3	SD2230b	ERS902829
Del1368_SHE3	SD2230b2	ERS902830
Del1369_HSL7	SD2231b	ERS902831
Del1369_HSL7	SD2231b2	ERS902832
Del1370_YBR134W	SD2232b	ERS902833
Del1370_YBR134W	SD2232b2	ERS902834
Del1371_YBR137W	SD2233b	ERS902835
Del1371_YBR137W	SD2233b2	ERS902836
Del1372_YBR138C	SD2234b	ERS902837
Del1372_YBR138C	SD2234b2	ERS902838
Del1373_YBR139W	SD2235b	ERS902839
Del1373_YBR139W	SD2235b2	ERS902840
Del1374_BMT2	SD2236b	ERS902841
Del1374_BMT2	SD2236b2	ERS902842
Del1375_YBR144C	SD2237b	ERS902843
Del1375_YBR144C	SD2237b2	ERS902844
Del1376_ADH5	SD2238b	ERS902845
Del1376_ADH5	SD2238b2	ERS902846
Del1377_MRPS9	SD2239b	ERS902847
Del1377_MRPS9	SD2239b2	ERS902848
Del1378_RTC2	SD2240b	ERS902849
Del1378_RTC2	SD2240b2	ERS902850
Del1379_YSW1	SD2241b	ERS902851
Del1379_YSW1	SD2241b2	ERS902852
Del1380_ARA1	SD2242b	ERS902853
Del1380_ARA1	SD2242b2	ERS902854
Del1381_APD1	SD2243b	ERS902855
Del1381_APD1	SD2243b2	ERS902856
Del1382_SLI15	SD2244b	ERS902857
Del1382_SLI15	SD2244b2	ERS902858
Del1383_ICS2	SD2245b	ERS902805
Del1383_ICS2	SD2245b2	ERS902806
Del1384_AMN1	SD2246b	ERS902859
Del1384_AMN1	SD2246b2	ERS902860
Del1385_IFA38	SD2247b	ERS902861
Del1385_IFA38	SD2247b2	ERS902862
Del1386_CSH1	SD2248b	ERS902863
Del1386_CSH1	SD2248b2	ERS902864
Del1387_TOS1	SD2249b	ERS902865
Del1387_TOS1	SD2249b2	ERS902866
Del1388_YSY6	SD2250b	ERS902867
Del1388_YSY6	SD2250b2	ERS902868
Del1389_EXO5	SD2251b	ERS902869
Del1389_EXO5	SD2251b2	ERS902870
Del1390_ARL1	SD2252b	ERS902871
Del1390_ARL1	SD2252b2	ERS902872
Del1391_NPL4	SD2253b	ERS902873
Del1391_NPL4	SD2253b2	ERS902874
Del1392_SEC66	SD2254b	ERS902875
Del1392_SEC66	SD2254b2	ERS902876
Del1393_SMY2	SD2255b	ERS902877
Del1393_SMY2	SD2255b2	ERS902878
Del1394_UMP1	SD2256b	ERS902879
Del1394_UMP1	SD2256b2	ERS902880
Del1395_YBR174C	SD2257b	ERS902881
Del1395_YBR174C	SD2257b2	ERS902882
Del1396_SWD3	SD2258b	ERS902883
Del1396_SWD3	SD2258b2	ERS902884
Del1397_ECM31	SD2259b	ERS902885
Del1397_ECM31	SD2259b2	ERS902886
Del1398_EHT1	SD2260b	ERS902887
Del1398_EHT1	SD2260b2	ERS902888
Del1399_YBR178W	SD2261b	ERS902889
Del1399_YBR178W	SD2261b2	ERS902890
Del1400_FZO1	SD2262b	ERS902891
Del1400_FZO1	SD2262b2	ERS902892
Del1401_DTR1	SD2263b	ERS902893
Del1401_DTR1	SD2263b2	ERS902894
Del1402_RPS6B	SD2264b	ERS902895
Del1402_RPS6B	SD2264b2	ERS902896
Del1403_SMP1	SD2265b	ERS902897
Del1403_SMP1	SD2265b2	ERS902898
Del1404_YPC1	SD2266b	ERS902899
Del1404_YPC1	SD2266b2	ERS902900
Del1405_YBR184W	SD2267b	ERS902901
Del1405_YBR184W	SD2267b2	ERS902902
Del1406_MBA1	SD2268b	ERS902903
Del1406_MBA1	SD2268b2	ERS902904
Del1407_PCH2	SD2269b	ERS902905
Del1407_PCH2	SD2269b2	ERS902906
Del1408_GDT1	SD2270b	ERS902907
Del1408_GDT1	SD2270b2	ERS902908
Del1409_NTC20	SD2271b	ERS902909
Del1409_NTC20	SD2271b2	ERS902910
Del1410_AIM4	SD2272b	ERS902911
Del1410_AIM4	SD2272b2	ERS902912
Del1411_MSI1	SD2273b	ERS902913
