##Supplementary Table 1. Accession numbers of YKOC colonies sequenced.		
##LEGEND		
##Deletion_Strain	Unique ID identifying the KO strain from which colonies were derived	
##SD_code	Unique ID identifying a single colony	
##ERS accession number	Accession code to download data from the European Nucleotide Archive	
#Deletion_Strain	SD_code	ERS accession number
Del72_SEM1	SD0934b2	ERS838375
Del73_SNA2	SD0935b	ERS838376
Del73_SNA2	SD0935b2	ERS838377
Del74_YDR535C	SD0936b	ERS838378
Del74_YDR535C	SD0936b2	ERS838379
Del75_STL1	SD0937b	ERS838380
Del75_STL1	SD0937b2	ERS838381
Del76_PAD1	SD0938b	ERS838382
Del76_PAD1	SD0938b2	ERS838383
Del77_FDC1	SD0939b	ERS838384
Del77_FDC1	SD0939b2	ERS838385
Del78_IRC4	SD0940b	ERS838386
Del78_IRC4	SD0940b2	ERS838387
Del79_YDR541C	SD0941b	ERS838388
Del79_YDR541C	SD0941b2	ERS838389
Del80_YER039C-A	SD0942b	ERS838390
Del80_YER039C-A	SD0942b2	ERS838391
Del81_YER091C-A	SD0943b	ERS838392
Del81_YER091C-A	SD0943b2	ERS838393
Del82_UBP5	SD0944b	ERS838394
Del82_UBP5	SD0944b2	ERS838395
Del83_YER188W	SD0945b	ERS838396
Del83_YER188W	SD0945b2	ERS838397
Del84_RPL22B	SD0946b	ERS838398
Del84_RPL22B	SD0946b2	ERS838399
Del85_RRT5	SD0947b	ERS838400
Del85_RRT5	SD0947b2	ERS838401
Del86_RPL29	SD0948b2	ERS838403
Del87_QCR6	SD0949b	ERS838404
Del87_QCR6	SD0949b2	ERS838405
Del88_PHO4	SD0950b	ERS838406
Del88_PHO4	SD0950b2	ERS838407
Del89_YFR035C	SD0951b	ERS838408
Del89_YFR035C	SD0951b2	ERS838409
Del90_CDC26	SD0952b	ERS838410
Del90_CDC26	SD0952b2	ERS838411
Del91_IRC5	SD0953b	ERS838412
Del91_IRC5	SD0953b2	ERS838413
Del92_SAP155	SD0954b	ERS838414
Del92_SAP155	SD0954b2	ERS838415
Del93_ERJ5	SD0955b	ERS838416
Del93_ERJ5	SD0955b2	ERS838417
Del94_IRC6	SD0956b	ERS838418
Del94_IRC6	SD0956b2	ERS838419
Del95_DUG1	SD0957b	ERS838420
Del95_DUG1	SD0957b2	ERS838421
Del96_YFR045W	SD0958b	ERS838422
Del96_YFR045W	SD0958b2	ERS838423
Del97_CNN1	SD0959b2	ERS838425
Del98_BNA6	SD0960b	ERS838426
Del98_BNA6	SD0960b2	ERS838427
Del99_RMD8	SD0961b	ERS838428
Del99_RMD8	SD0961b2	ERS838429
Del100_YMR31	SD0962b	ERS838430
Del101_HXK1	SD0963b	ERS838432
Del101_HXK1	SD0963b2	ERS838433
Del102_YFR054C	SD0964b	ERS838434
Del102_YFR054C	SD0964b2	ERS838435
Del103_IRC7	SD0965b	ERS838436
Del103_IRC7	SD0965b2	ERS838437
Del104_YFR056C	SD0966b	ERS838438
Del104_YFR056C	SD0966b2	ERS838439
Del105_YFR057W	SD0967b	ERS838440
Del105_YFR057W	SD0967b2	ERS838441
Del106_YGR219W	SD0968b	ERS838442
Del106_YGR219W	SD0968b2	ERS838443
Del107_MRPL9	SD0969b	ERS838444
Del107_MRPL9	SD0969b2	ERS838445
Del108_TOS2	SD0970b	ERS838446
Del108_TOS2	SD0970b2	ERS838447
Del109_PET54	SD0971b	ERS838448
Del109_PET54	SD0971b2	ERS838449
Del110_HSV2	SD0972b	ERS838450
Del110_HSV2	SD0972b2	ERS838451
Del111_AZR1	SD0973b	ERS838452
Del111_AZR1	SD0973b2	ERS838453
Del112_AMA1	SD0974b2	ERS838455
Del113_YGR226C	SD0975b	ERS838456
Del113_YGR226C	SD0975b2	ERS838457
Del114_DIE2	SD0976b	ERS838458
Del114_DIE2	SD0976b2	ERS838459
Del115_YGR228W	SD0977b	ERS838460
Del115_YGR228W	SD0977b2	ERS838461
Del116_SMI1	SD0978b	ERS838462
Del116_SMI1	SD0978b2	ERS838463
