logs/depth.did.Rap1.3M.log.err-191:real	0m34.470s
logs/depth.did.Rap1.3M.log.err-192:real	0m34.329s
logs/depth.did.Rap1.3M.log.err-193:real	0m34.746s
logs/depth.did.Rap1.3M.log.err-194:real	0m29.631s
logs/depth.did.Rap1.3M.log.err-195:real	0m34.434s
logs/depth.did.Rap1.3M.log.err-196:real	0m30.379s
logs/depth.did.Rap1.3M.log.err-197:real	0m30.296s
logs/depth.did.Rap1.3M.log.err-198:real	0m29.699s
logs/depth.did.Rap1.3M.log.err-199:real	0m35.186s
logs/depth.did.Rap1.3M.log.err-2:real	0m34.693s
logs/depth.did.Rap1.3M.log.err-20:real	0m29.868s
logs/depth.did.Rap1.3M.log.err-200:real	0m34.203s
logs/depth.did.Rap1.3M.log.err-201:real	0m30.342s
logs/depth.did.Rap1.3M.log.err-202:real	0m29.996s
logs/depth.did.Rap1.3M.log.err-203:real	0m30.685s
logs/depth.did.Rap1.3M.log.err-204:real	0m29.799s
logs/depth.did.Rap1.3M.log.err-205:real	0m35.314s
logs/depth.did.Rap1.3M.log.err-206:real	0m29.668s
logs/depth.did.Rap1.3M.log.err-207:real	0m34.312s
logs/depth.did.Rap1.3M.log.err-208:real	0m33.001s
logs/depth.did.Rap1.3M.log.err-209:real	0m32.636s
logs/depth.did.Rap1.3M.log.err-21:real	0m29.780s
logs/depth.did.Rap1.3M.log.err-210:real	0m39.001s
logs/depth.did.Rap1.3M.log.err-211:real	0m36.345s
logs/depth.did.Rap1.3M.log.err-212:real	0m30.651s
logs/depth.did.Rap1.3M.log.err-213:real	0m32.022s
logs/depth.did.Rap1.3M.log.err-214:real	0m30.540s
logs/depth.did.Rap1.3M.log.err-215:real	0m31.090s
logs/depth.did.Rap1.3M.log.err-216:real	0m34.490s
logs/depth.did.Rap1.3M.log.err-217:real	0m34.779s
logs/depth.did.Rap1.3M.log.err-218:real	0m34.389s
logs/depth.did.Rap1.3M.log.err-219:real	0m30.180s
logs/depth.did.Rap1.3M.log.err-22:real	0m31.198s
logs/depth.did.Rap1.3M.log.err-220:real	0m36.194s
logs/depth.did.Rap1.3M.log.err-221:real	0m29.930s
logs/depth.did.Rap1.3M.log.err-222:real	0m30.110s
logs/depth.did.Rap1.3M.log.err-223:real	0m30.021s
logs/depth.did.Rap1.3M.log.err-224:real	0m34.128s
logs/depth.did.Rap1.3M.log.err-225:real	0m35.976s
logs/depth.did.Rap1.3M.log.err-226:real	0m30.404s
logs/depth.did.Rap1.3M.log.err-227:real	0m30.064s
logs/depth.did.Rap1.3M.log.err-228:real	0m30.273s
logs/depth.did.Rap1.3M.log.err-229:real	0m29.585s
logs/depth.did.Rap1.3M.log.err-23:real	0m30.002s
logs/depth.did.Rap1.3M.log.err-230:real	0m34.227s
logs/depth.did.Rap1.3M.log.err-231:real	0m30.135s
logs/depth.did.Rap1.3M.log.err-232:real	0m32.767s
logs/depth.did.Rap1.3M.log.err-233:real	0m33.136s
logs/depth.did.Rap1.3M.log.err-234:real	0m35.358s
logs/depth.did.Rap1.3M.log.err-235:real	0m36.322s
logs/depth.did.Rap1.3M.log.err-236:real	0m29.517s
logs/depth.did.Rap1.3M.log.err-237:real	0m30.830s
logs/depth.did.Rap1.3M.log.err-238:real	0m30.594s
logs/depth.did.Rap1.3M.log.err-239:real	0m31.538s
logs/depth.did.Rap1.3M.log.err-24:real	0m30.643s
logs/depth.did.Rap1.3M.log.err-240:real	0m34.814s
logs/depth.did.Rap1.3M.log.err-241:real	0m38.523s
logs/depth.did.Rap1.3M.log.err-242:real	0m29.797s
logs/depth.did.Rap1.3M.log.err-243:real	0m30.937s
logs/depth.did.Rap1.3M.log.err-244:real	0m35.158s
logs/depth.did.Rap1.3M.log.err-245:real	0m34.433s
logs/depth.did.Rap1.3M.log.err-246:real	0m34.508s
logs/depth.did.Rap1.3M.log.err-247:real	0m30.568s
logs/depth.did.Rap1.3M.log.err-248:real	0m34.516s
logs/depth.did.Rap1.3M.log.err-249:real	0m30.557s
logs/depth.did.Rap1.3M.log.err-25:real	0m33.904s
logs/depth.did.Rap1.3M.log.err-250:real	0m30.415s
logs/depth.did.Rap1.3M.log.err-251:real	0m30.215s
logs/depth.did.Rap1.3M.log.err-252:real	0m34.227s
logs/depth.did.Rap1.3M.log.err-253:real	0m34.989s
logs/depth.did.Rap1.3M.log.err-254:real	0m30.786s
logs/depth.did.Rap1.3M.log.err-255:real	0m29.822s
logs/depth.did.Rap1.3M.log.err-256:real	0m30.849s
logs/depth.did.Rap1.3M.log.err-257:real	0m29.945s
logs/depth.did.Rap1.3M.log.err-258:real	0m34.867s
logs/depth.did.Rap1.3M.log.err-259:real	0m29.976s
logs/depth.did.Rap1.3M.log.err-26:real	0m34.455s
